ano_mes,regiao,produto,preco_medio,preco_min,preco_max,desvio_padrao,num_coletas
2019-01-01,BR,DIESEL,3.4540287201233615,2.87,4.95,0.252291129436404,15564.0
2019-02-01,BR,DIESEL,3.4657352917569626,2.89,4.95,0.23630207127073022,12459.0
2019-03-01,BR,DIESEL,3.540462307067425,2.899,4.95,0.22563622616288787,12310.0
2019-04-01,BR,DIESEL,3.5806796628751543,2.989,4.95,0.22144058867473093,14594.0
2019-05-01,BR,DIESEL,3.655956048935206,3.089,4.95,0.21621505663398927,13242.0
2019-06-01,BR,DIESEL,3.622074638844302,3.089,4.95,0.22356641935393481,12460.0
2019-07-01,BR,DIESEL,3.558053234998324,3.029,4.95,0.22663633722412982,14915.0
2019-08-01,BR,DIESEL,3.539792401310657,3.048,4.95,0.22381269800247977,12818.0
2019-09-01,BR,DIESEL,3.606748273044641,2.999,4.95,0.232577794592718,13463.0
2019-10-01,BR,DIESEL,3.714139244915018,3.139,4.95,0.21967932720779001,14356.0
2019-11-01,BR,DIESEL,3.7248601993678583,3.17,4.95,0.21721430386791563,12339.0
2019-12-01,BR,DIESEL,3.746211744160664,3.249,4.99,0.21082595812253896,13743.0
2020-01-01,BR,DIESEL,3.7965213805079228,3.29,5.009,0.21274754763680515,13821.0
2020-02-01,BR,DIESEL,3.731290993636809,3.149,4.99,0.22793878848688187,12258.0
2020-03-01,BR,DIESEL,3.600220591489048,2.89,4.95,0.25919976439956915,13559.0
2020-04-01,BR,DIESEL,3.31674005092761,2.453,4.95,0.270830110303165,13745.0
2020-05-01,BR,DIESEL,3.0620164043082023,2.459,4.95,0.27078494927217817,12070.0
2020-06-01,BR,DIESEL,3.081141717881182,2.49,4.95,0.24698606721640054,13668.0
2020-07-01,BR,DIESEL,3.2565520910299983,2.54,4.95,0.23849995314284894,13534.0
2020-08-01,BR,DIESEL,3.370708365910868,2.729,4.95,0.2308396032409046,8953.0
2020-10-01,BR,DIESEL,3.5826402349486055,2.879,4.65,0.28940413646369617,681.0
2020-11-01,BR,DIESEL,3.556102850539291,2.949,5.09,0.25100391382382303,2596.0
2020-12-01,BR,DIESEL,3.6428802069857698,3.09,4.8,0.23696771644601392,3865.0
2021-01-01,BR,DIESEL,3.711450073063809,3.199,5.25,0.23163431544955226,4106.0
2021-02-01,BR,DIESEL,3.9473681294326246,3.289,5.85,0.3095253571100187,4512.0
2021-03-01,BR,DIESEL,4.270842130829016,3.399,6.01,0.2743060069295992,6176.0
2021-04-01,BR,DIESEL,4.2336200108361925,3.599,5.899,0.2802395395242948,5537.0
2021-05-01,BR,DIESEL,4.489857939162287,3.099,6.13,0.28016292342824983,6279.0
2021-06-01,BR,DIESEL,4.525495217391305,3.099,6.1,0.27757534202302847,9200.0
2021-07-01,BR,DIESEL,4.60315209078574,3.889,6.398,0.27121521210031585,8107.0
2021-08-01,BR,DIESEL,4.639209093926319,3.78,6.35,0.272425819339433,9039.0
2021-09-01,BR,DIESEL,4.746373112128146,3.699,6.48,0.2765024225712354,8740.0
2021-10-01,BR,DIESEL,5.058461153188371,3.89,6.42,0.29461931374257094,8186.0
2021-11-01,BR,DIESEL,5.384707641196013,4.07,6.7,0.2651108173575198,9632.0
2021-12-01,BR,DIESEL,5.366307626938602,4.07,6.986,0.2698007230563557,9414.0
2022-01-01,BR,DIESEL,5.512184072536597,4.07,6.905,0.2945069844785933,9154.0
2022-02-01,BR,DIESEL,5.61443029373082,4.349,6.985,0.27197291670193713,9124.0
2022-03-01,BR,DIESEL,6.296275528758732,4.599,7.98,0.5463332764722738,10449.0
2022-04-01,BR,DIESEL,6.622083255957908,4.999,7.979,0.31279506545469477,9693.0
2022-05-01,BR,DIESEL,6.868951640296773,5.49,8.69,0.3835029038723288,11187.0
2022-06-01,BR,DIESEL,7.232184551674469,5.64,8.99,0.4939638149124712,11108.0
2022-07-01,BR,DIESEL,7.48985494197679,5.69,8.99,0.30905634903691337,9996.0
2022-08-01,BR,DIESEL,7.133782699540326,6.24,8.99,0.37856825631887087,11965.0
