ano_mes,periodo,item,variacao_pct,indice_relativo,indice_relativo_real,ipca_indice
2019-01-01,Bolsonaro,Arroz,0.19,100.0,149.17597074808526,5116.93
2019-02-01,Bolsonaro,Arroz,-1.23,98.77,146.71033213139697,5138.93
2019-03-01,Bolsonaro,Arroz,-0.41,98.365043,145.0212163815319,5177.47
2019-04-01,Bolsonaro,Arroz,-0.16,98.2076589312,143.96860529201263,5206.98
2019-05-01,Bolsonaro,Arroz,-0.4,97.8148282954752,143.20653690527357,5213.75
2019-06-01,Bolsonaro,Arroz,0.5,98.30390243695255,143.90821672042668,5214.27
2019-07-01,Bolsonaro,Arroz,0.48,98.77576116864992,144.32467936123442,5224.18
2019-08-01,Bolsonaro,Arroz,0.67,99.43755876847987,145.1319150960574,5229.93
2019-09-01,Bolsonaro,Arroz,0.63,100.0640153887213,146.10463292404685,5227.84
2019-10-01,Bolsonaro,Arroz,0.05,100.11404739641566,146.03159331095168,5233.07
2019-11-01,Bolsonaro,Arroz,0.69,100.80483432345092,146.2930790573705,5259.76
2019-12-01,Bolsonaro,Arroz,0.17,100.9762025418008,144.87563150757015,5320.25
2020-01-01,Bolsonaro,Arroz,1.31,102.2989907950984,146.46599320760114,5331.42
2020-02-01,Bolsonaro,Arroz,1.0,103.32198070304938,147.5617087351022,5344.75
2020-03-01,Bolsonaro,Arroz,1.6,104.97513239429816,149.81786071323467,5348.49
2020-04-01,Bolsonaro,Arroz,3.88,109.04816753119694,156.11474009204176,5331.91
2020-05-01,Bolsonaro,Arroz,2.01,111.240035698574,159.86007694321464,5311.65
2020-06-01,Bolsonaro,Arroz,2.74,114.28801267671491,163.8143347249403,5325.46
2020-07-01,Bolsonaro,Arroz,2.2,116.80234895560264,166.81775803346062,5344.63
2020-08-01,Bolsonaro,Arroz,3.08,120.3998613034352,171.54394681382982,5357.46
2020-09-01,Bolsonaro,Arroz,17.98,142.04775636579285,201.1004210736887,5391.75
2020-10-01,Bolsonaro,Arroz,13.36,161.02533661626276,226.0235945913947,5438.12
2020-11-01,Bolsonaro,Arroz,6.28,171.13772775576405,238.0987652714527,5486.52
2020-12-01,Bolsonaro,Arroz,3.84,177.7094165015854,243.9483668679756,5560.59
2021-01-01,Bolsonaro,Arroz,0.24,178.1359191011892,243.9240974081522,5574.49
2021-02-01,Bolsonaro,Arroz,-1.52,175.42825313085112,238.16823057752725,5622.43
2021-03-01,Bolsonaro,Arroz,-2.13,171.691631339164,230.9473790930736,5674.72
2021-04-01,Bolsonaro,Arroz,-0.5,170.83317318246816,229.0825521680322,5692.31
2021-05-01,Bolsonaro,Arroz,-1.14,168.88567500818803,224.60662507975366,5739.56
2021-06-01,Bolsonaro,Arroz,-1.06,167.09548685310122,221.05419483459175,5769.98
2021-07-01,Bolsonaro,Arroz,-2.35,163.16874291205335,213.80694161204747,5825.37
2021-08-01,Bolsonaro,Arroz,-2.09,159.75851618519144,207.5328662111944,5876.05
2021-09-01,Bolsonaro,Arroz,-0.97,158.20885857819508,203.16317989519817,5944.21
2021-10-01,Bolsonaro,Arroz,-1.42,155.96229278638472,197.8057778695749,6018.51
2021-11-01,Bolsonaro,Arroz,-3.58,150.37884270463215,188.92937156080697,6075.69
2021-12-01,Bolsonaro,Arroz,-1.77,147.71713718876015,184.240443380004,6120.04
2022-01-01,Bolsonaro,Arroz,-2.66,143.78786133953915,178.37636322771328,6153.09
2022-02-01,Bolsonaro,Arroz,0.14,143.9891643454145,176.83989821090552,6215.24
2022-03-01,Bolsonaro,Arroz,2.69,147.86247286630615,178.70183231246608,6315.93
2022-04-01,Bolsonaro,Arroz,2.22,151.14501976393814,180.7529985230312,6382.88
2022-05-01,Bolsonaro,Arroz,0.27,151.55311131730076,180.39317060362265,6412.88
2022-06-01,Bolsonaro,Arroz,-0.76,150.40130767128926,177.83061467594743,6455.85
2022-07-01,Bolsonaro,Arroz,-0.11,150.23586623285084,178.85119522213742,6411.95
2022-08-01,Bolsonaro,Arroz,-0.42,149.60487559467288,178.7434122991272,6388.87
2022-09-01,Bolsonaro,Arroz,-0.64,148.64740439086697,178.11605449920998,6370.34
2022-10-01,Bolsonaro,Arroz,0.04,148.70686335262332,177.14202410905625,6407.93
2022-11-01,Bolsonaro,Arroz,1.46,150.8779835575716,178.9944904465454,6434.2
2022-12-01,Bolsonaro,Arroz,3.77,156.56608353769207,184.59813284066442,6474.09
2023-01-01,Lula,Arroz,3.13,161.46660195242185,189.37245867206764,6508.4
2023-02-01,Lula,Arroz,1.91,164.5506140497131,191.38188129681558,6563.07
2023-03-01,Lula,Arroz,0.9,166.03156957616048,191.74287942300225,6609.67
2023-04-01,Lula,Arroz,0.36,166.62928322663467,191.26639943880284,6649.99
2023-05-01,Lula,Arroz,0.42,167.32912621618652,191.6291147719498,6665.28
2023-06-01,Lula,Arroz,-0.4,166.65980971132177,191.01534685436866,6659.95
2023-07-01,Lula,Arroz,-0.74,165.426527119458,189.37463888458208,6667.94
2023-08-01,Lula,Arroz,1.14,167.31238952861983,191.09388670256922,6683.28
2023-09-01,Lula,Arroz,3.2,172.66638599353567,196.69737571484544,6700.66
2023-10-01,Lula,Arroz,2.99,177.8291109347424,202.0936502619431,6716.74
