ano_mes,item_codigo,item,variacao_mensal_pct
2020-01-01,7482,Gás de botijão,0.87
2020-02-01,7482,Gás de botijão,0.07
2020-03-01,7482,Gás de botijão,0.6
2020-04-01,7482,Gás de botijão,0.23
2020-05-01,7482,Gás de botijão,-1.16
2020-06-01,7482,Gás de botijão,1.41
2020-07-01,7482,Gás de botijão,0.11
2020-08-01,7482,Gás de botijão,0.52
2020-09-01,7482,Gás de botijão,1.61
2020-10-01,7482,Gás de botijão,1.27
2020-11-01,7482,Gás de botijão,1.37
2020-12-01,7482,Gás de botijão,1.99
2021-01-01,7482,Gás de botijão,3.19
2021-02-01,7482,Gás de botijão,2.98
2021-03-01,7482,Gás de botijão,4.98
2021-04-01,7482,Gás de botijão,1.15
2021-05-01,7482,Gás de botijão,1.24
2021-06-01,7482,Gás de botijão,1.58
2021-07-01,7482,Gás de botijão,4.17
2021-08-01,7482,Gás de botijão,2.4
2021-09-01,7482,Gás de botijão,3.91
2021-10-01,7482,Gás de botijão,3.67
2021-11-01,7482,Gás de botijão,2.12
2021-12-01,7482,Gás de botijão,0.6
2022-01-01,7482,Gás de botijão,-0.73
2022-02-01,7482,Gás de botijão,-0.27
2022-03-01,7482,Gás de botijão,6.57
2022-04-01,7482,Gás de botijão,3.32
2022-05-01,7482,Gás de botijão,-1.02
2022-06-01,7482,Gás de botijão,-0.39
2022-07-01,7482,Gás de botijão,-0.36
2022-08-01,7482,Gás de botijão,-0.09
2022-09-01,7482,Gás de botijão,0.92
2022-10-01,7482,Gás de botijão,-0.67
2022-11-01,7482,Gás de botijão,-0.37
2022-12-01,7482,Gás de botijão,-0.56
2023-01-01,7482,Gás de botijão,-1.19
2023-02-01,7482,Gás de botijão,-0.08
2023-03-01,7482,Gás de botijão,-0.48
2023-04-01,7482,Gás de botijão,0.11
2023-05-01,7482,Gás de botijão,0.44
2023-06-01,7482,Gás de botijão,-3.82
2023-07-01,7482,Gás de botijão,-1.03
2023-08-01,7482,Gás de botijão,-0.8
2023-09-01,7482,Gás de botijão,0.3
2023-10-01,7482,Gás de botijão,0.27
2023-11-01,7482,Gás de botijão,-0.41
2023-12-01,7482,Gás de botijão,-0.36
2024-01-01,7482,Gás de botijão,0.42
2024-02-01,7482,Gás de botijão,0.36
2024-03-01,7482,Gás de botijão,0.36
2024-04-01,7482,Gás de botijão,0.04
2024-05-01,7482,Gás de botijão,1.04
2024-06-01,7482,Gás de botijão,-0.9
2024-07-01,7482,Gás de botijão,1.23
2024-08-01,7482,Gás de botijão,0.71
2024-09-01,7482,Gás de botijão,2.4
2024-10-01,7482,Gás de botijão,0.73
2024-11-01,7482,Gás de botijão,0.17
2024-12-01,7482,Gás de botijão,0.29
2025-01-01,7482,Gás de botijão,0.43
2025-02-01,7482,Gás de botijão,0.32
2025-03-01,7482,Gás de botijão,0.21
2025-04-01,7482,Gás de botijão,-0.09
2025-05-01,7482,Gás de botijão,0.51
2025-06-01,7482,Gás de botijão,0.21
2025-07-01,7482,Gás de botijão,-0.37
2025-08-01,7482,Gás de botijão,0.42
2025-09-01,7482,Gás de botijão,0.63
2025-10-01,7482,Gás de botijão,0.94
2025-11-01,7482,Gás de botijão,-0.38
2025-12-01,7482,Gás de botijão,-0.32
2026-01-01,7482,Gás de botijão,-0.06
2026-02-01,7482,Gás de botijão,0.04
2026-03-01,7482,Gás de botijão,-0.21
2026-04-01,7482,Gás de botijão,3.74
2026-05-01,7482,Gás de botijão,0.55
2026-06-01,7482,Gás de botijão,-0.05
2026-07-01,7482,Gás de botijão,-1.13
2026-08-01,7482,Gás de botijão,-0.08
2020-01-01,7657,Gasolina,0.89
2020-02-01,7657,Gasolina,-0.72
2020-03-01,7657,Gasolina,-1.75
2020-04-01,7657,Gasolina,-9.31
2020-05-01,7657,Gasolina,-4.35
2020-06-01,7657,Gasolina,3.24
2020-07-01,7657,Gasolina,3.42
2020-08-01,7657,Gasolina,3.22
2020-09-01,7657,Gasolina,1.95
2020-10-01,7657,Gasolina,0.85
2020-11-01,7657,Gasolina,1.64
2020-12-01,7657,Gasolina,1.54
2021-01-01,7657,Gasolina,2.17
2021-02-01,7657,Gasolina,7.11
2021-03-01,7657,Gasolina,11.26
2021-04-01,7657,Gasolina,-0.44
2021-05-01,7657,Gasolina,2.87
2021-06-01,7657,Gasolina,0.69
2021-07-01,7657,Gasolina,1.55
2021-08-01,7657,Gasolina,2.8
2021-09-01,7657,Gasolina,2.32
2021-10-01,7657,Gasolina,3.1
2021-11-01,7657,Gasolina,7.38
2021-12-01,7657,Gasolina,-0.67
2022-01-01,7657,Gasolina,-1.14
2022-02-01,7657,Gasolina,-0.47
2022-03-01,7657,Gasolina,6.95
2022-04-01,7657,Gasolina,2.48
2022-05-01,7657,Gasolina,0.92
2022-06-01,7657,Gasolina,-0.72
2022-07-01,7657,Gasolina,-15.48
2022-08-01,7657,Gasolina,-11.64
2022-09-01,7657,Gasolina,-8.33
2022-10-01,7657,Gasolina,-1.56
2022-11-01,7657,Gasolina,2.99
2022-12-01,7657,Gasolina,-1.04
2023-01-01,7657,Gasolina,0.83
2023-02-01,7657,Gasolina,1.16
2023-03-01,7657,Gasolina,8.33
2023-04-01,7657,Gasolina,-0.52
2023-05-01,7657,Gasolina,-1.93
2023-06-01,7657,Gasolina,-1.14
2023-07-01,7657,Gasolina,4.75
2023-08-01,7657,Gasolina,1.24
2023-09-01,7657,Gasolina,2.8
2023-10-01,7657,Gasolina,-1.53
2023-11-01,7657,Gasolina,-1.69
2023-12-01,7657,Gasolina,-0.34
2024-01-01,7657,Gasolina,-0.31
2024-02-01,7657,Gasolina,2.93
2024-03-01,7657,Gasolina,0.21
2024-04-01,7657,Gasolina,1.5
2024-05-01,7657,Gasolina,0.45
2024-06-01,7657,Gasolina,0.64
2024-07-01,7657,Gasolina,3.15
2024-08-01,7657,Gasolina,0.67
2024-09-01,7657,Gasolina,-0.12
2024-10-01,7657,Gasolina,-0.13
2024-11-01,7657,Gasolina,-0.16
2024-12-01,7657,Gasolina,0.54
2025-01-01,7657,Gasolina,0.61
2025-02-01,7657,Gasolina,2.78
2025-03-01,7657,Gasolina,0.51
2025-04-01,7657,Gasolina,-0.35
2025-05-01,7657,Gasolina,-0.66
2025-06-01,7657,Gasolina,-0.34
2025-07-01,7657,Gasolina,-0.51
2025-08-01,7657,Gasolina,-0.94
2025-09-01,7657,Gasolina,0.75
2025-10-01,7657,Gasolina,0.29
2025-11-01,7657,Gasolina,-0.42
2025-12-01,7657,Gasolina,0.18
2026-01-01,7657,Gasolina,2.06
2026-02-01,7657,Gasolina,-0.61
2026-03-01,7657,Gasolina,4.59
2026-04-01,7657,Gasolina,1.86
2026-05-01,7657,Gasolina,-1.46
2026-06-01,7657,Gasolina,-0.12
2026-07-01,7657,Gasolina,-1.37
2026-08-01,7657,Gasolina,-0.59
2020-01-01,7658,Etanol,2.59
2020-02-01,7658,Etanol,0.96
2020-03-01,7658,Etanol,-2.82
2020-04-01,7658,Etanol,-13.51
2020-05-01,7658,Etanol,-5.96
2020-06-01,7658,Etanol,5.74
2020-07-01,7658,Etanol,0.72
2020-08-01,7658,Etanol,1.29
2020-09-01,7658,Etanol,2.21
2020-10-01,7658,Etanol,1.91
2020-11-01,7658,Etanol,9.23
2020-12-01,7658,Etanol,1.32
2021-01-01,7658,Etanol,1.73
2021-02-01,7658,Etanol,8.06
2021-03-01,7658,Etanol,12.59
2021-04-01,7658,Etanol,-4.93
2021-05-01,7658,Etanol,12.92
2021-06-01,7658,Etanol,2.14
2021-07-01,7658,Etanol,-0.75
2021-08-01,7658,Etanol,4.5
2021-09-01,7658,Etanol,3.79
2021-10-01,7658,Etanol,3.54
2021-11-01,7658,Etanol,10.53
2021-12-01,7658,Etanol,-2.96
2022-01-01,7658,Etanol,-2.84
2022-02-01,7658,Etanol,-5.04
2022-03-01,7658,Etanol,3.02
2022-04-01,7658,Etanol,8.44
2022-05-01,7658,Etanol,-0.43
2022-06-01,7658,Etanol,-6.41
2022-07-01,7658,Etanol,-11.38
2022-08-01,7658,Etanol,-8.67
2022-09-01,7658,Etanol,-12.43
2022-10-01,7658,Etanol,1.34
2022-11-01,7658,Etanol,7.57
2022-12-01,7658,Etanol,0.48
2023-01-01,7658,Etanol,0.72
2023-02-01,7658,Etanol,-1.03
2023-03-01,7658,Etanol,3.2
2023-04-01,7658,Etanol,0.92
2023-05-01,7658,Etanol,0.38
2023-06-01,7658,Etanol,-5.11
2023-07-01,7658,Etanol,1.57
2023-08-01,7658,Etanol,-4.26
2023-09-01,7658,Etanol,-0.62
2023-10-01,7658,Etanol,-0.96
2023-11-01,7658,Etanol,-1.86
2023-12-01,7658,Etanol,-1.24
2024-01-01,7658,Etanol,-1.55
2024-02-01,7658,Etanol,4.52
2024-03-01,7658,Etanol,0.55
2024-04-01,7658,Etanol,4.56
2024-05-01,7658,Etanol,0.53
2024-06-01,7658,Etanol,0.34
2024-07-01,7658,Etanol,5.9
2024-08-01,7658,Etanol,-0.18
2024-09-01,7658,Etanol,0.75
2024-10-01,7658,Etanol,-0.56
2024-11-01,7658,Etanol,-0.19
2024-12-01,7658,Etanol,1.92
2025-01-01,7658,Etanol,1.82
