ano_mes,ibovespa_pontos
2019-01-01,97393.75
2019-02-01,95584.35
2019-03-01,95414.56
2019-04-01,96353.33
2019-05-01,97030.32
2019-06-01,100967.2
2019-07-01,101812.13
2019-08-01,101134.61
2019-09-01,104745.32
2019-10-01,107219.83
2019-11-01,108233.28
2019-12-01,115645.34
2020-01-01,113760.57
2020-02-01,104171.57
2020-03-01,73019.76
2020-04-01,80505.89
2020-05-01,87402.59
2020-06-01,95055.82
2020-07-01,102912.24
2020-08-01,99369.15
2020-09-01,94603.38
2020-10-01,93952.4
2020-11-01,108893.32
2020-12-01,119017.24
2021-01-01,115067.55
2021-02-01,110035.17
2021-03-01,116633.72
2021-04-01,118893.84
2021-05-01,126215.73
2021-06-01,126801.66
2021-07-01,121800.79
2021-08-01,118781.03
2021-09-01,110979.1
2021-10-01,103500.71
2021-11-01,101915.45
2021-12-01,104822.44
2022-01-01,112143.51
2022-02-01,113141.94
2022-03-01,119999.23
2022-04-01,107876.16
2022-05-01,111350.51
2022-06-01,98541.95
2022-07-01,103164.69
2022-08-01,109522.88
2022-09-01,110036.79
2022-10-01,116037.08
2022-11-01,112486.01
2022-12-01,109734.6
2023-01-01,113430.54
2023-02-01,104931.93
2023-03-01,101882.2
2023-04-01,104431.63
2023-05-01,108335.07
2023-06-01,118087.0
2023-07-01,121942.98
2023-08-01,115741.81
2023-09-01,116565.17
2023-10-01,113143.67
2023-11-01,127331.12
2023-12-01,134185.24
2024-01-01,127752.28
2024-02-01,129020.02
2024-03-01,128106.1
2024-04-01,125924.19
2024-05-01,122098.09
2024-06-01,123906.55
2024-07-01,127651.81
2024-08-01,136004.01
2024-09-01,131816.44
2024-10-01,129713.33
2024-11-01,125667.83
2024-12-01,120283.4
2025-01-01,126134.94
2025-02-01,122799.09
2025-03-01,130259.54
2025-04-01,135066.97
2025-05-01,137026.62
2025-06-01,138854.6
2025-07-01,133071.05
2025-08-01,141422.26
2025-09-01,146237.02
2025-10-01,149540.43
2025-11-01,159072.13
2025-12-01,161125.37
2026-01-01,181363.9
2026-02-01,188786.98
2026-03-01,187461.84
2026-04-01,187317.64
2026-05-01,173787.49
2026-06-01,172024.12
2026-07-01,177999.0
2026-08-01,177418.78
