ano_mes,ipca_indice
2019-01-01,5116.93
2019-02-01,5138.93
2019-03-01,5177.47
2019-04-01,5206.98
2019-05-01,5213.75
2019-06-01,5214.27
2019-07-01,5224.18
2019-08-01,5229.93
2019-09-01,5227.84
2019-10-01,5233.07
2019-11-01,5259.76
2019-12-01,5320.25
2020-01-01,5331.42
2020-02-01,5344.75
2020-03-01,5348.49
2020-04-01,5331.91
2020-05-01,5311.65
2020-06-01,5325.46
2020-07-01,5344.63
2020-08-01,5357.46
2020-09-01,5391.75
2020-10-01,5438.12
2020-11-01,5486.52
2020-12-01,5560.59
2021-01-01,5574.49
2021-02-01,5622.43
2021-03-01,5674.72
2021-04-01,5692.31
2021-05-01,5739.56
2021-06-01,5769.98
2021-07-01,5825.37
2021-08-01,5876.05
2021-09-01,5944.21
2021-10-01,6018.51
2021-11-01,6075.69
2021-12-01,6120.04
2022-01-01,6153.09
2022-02-01,6215.24
2022-03-01,6315.93
2022-04-01,6382.88
2022-05-01,6412.88
2022-06-01,6455.85
2022-07-01,6411.95
2022-08-01,6388.87
2022-09-01,6370.34
2022-10-01,6407.93
2022-11-01,6434.2
2022-12-01,6474.09
2023-01-01,6508.4
2023-02-01,6563.07
2023-03-01,6609.67
2023-04-01,6649.99
2023-05-01,6665.28
2023-06-01,6659.95
2023-07-01,6667.94
2023-08-01,6683.28
2023-09-01,6700.66
2023-10-01,6716.74
2023-11-01,6735.55
2023-12-01,6773.27
2024-01-01,6801.72
2024-02-01,6858.17
2024-03-01,6869.14
2024-04-01,6895.24
2024-05-01,6926.96
2024-06-01,6941.51
2024-07-01,6967.89
2024-08-01,6966.5
2024-09-01,6997.15
2024-10-01,7036.33
2024-11-01,7063.77
2024-12-01,7100.5
2025-01-01,7111.86
2025-02-01,7205.03
2025-03-01,7245.38
2025-04-01,7276.54
2025-05-01,7295.46
2025-06-01,7312.97
2025-07-01,7331.98
2025-08-01,7323.91
2025-09-01,7359.06
2025-10-01,7365.68
2025-11-01,7378.94
2025-12-01,7403.29
2026-01-01,7427.72
2026-02-01,7479.71
2026-03-01,7545.53
2026-04-01,7596.09
2026-05-01,7640.15
2026-06-01,7652.37
2026-07-01,7657.73
2026-08-01,7633.23
