ano,pib_nominal,pib_per_capita,populacao,unidade_pib_nominal,unidade_pib_per_capita,unidade_populacao
1996,854764,5219.36,163768,Milhões de Reais,Reais,Mil pessoas
1997,952089,5729.02,166187,Milhões de Reais,Reais,Mil pessoas
1998,1002351,5944.93,168606,Milhões de Reais,Reais,Mil pessoas
1999,1087710,6359.8,171029,Milhões de Reais,Reais,Mil pessoas
2000,1199092,6863.88,174696,Milhões de Reais,Reais,Mil pessoas
2001,1315755,7433.48,177004,Milhões de Reais,Reais,Mil pessoas
2002,1488787,8306.67,179228,Milhões de Reais,Reais,Mil pessoas
2003,1717950,9471.66,181378,Milhões de Reais,Reais,Mil pessoas
2004,1957751,10670.69,183470,Milhões de Reais,Reais,Mil pessoas
2005,2170585,11700.13,185518,Milhões de Reais,Reais,Mil pessoas
2006,2409450,12848.0,187535,Milhões de Reais,Reais,Mil pessoas
2007,2720263,14358.06,189459,Milhões de Reais,Reais,Mil pessoas
2008,3109803,16253.18,191335,Milhões de Reais,Reais,Mil pessoas
2009,3333039,17254.08,193174,Milhões de Reais,Reais,Mil pessoas
2010,3885847,19953.1,194749,Milhões de Reais,Reais,Mil pessoas
2011,4376382,22310.38,196159,Milhões de Reais,Reais,Mil pessoas
2012,4814760,24357.44,197671,Milhões de Reais,Reais,Mil pessoas
2013,5331619,26761.53,199227,Milhões de Reais,Reais,Mil pessoas
2014,5778953,28778.07,200811,Milhões de Reais,Reais,Mil pessoas
2015,5995787,29622.87,202404,Milhões de Reais,Reais,Mil pessoas
2016,6269328,30751.29,203872,Milhões de Reais,Reais,Mil pessoas
2017,6592743,32126.5,205212,Milhões de Reais,Reais,Mil pessoas
2018,6996861,33878.35,206529,Milhões de Reais,Reais,Mil pessoas
2019,7394332,35566.77,207900,Milhões de Reais,Reais,Mil pessoas
2020,7609597,36380.83,209165,Milhões de Reais,Reais,Mil pessoas
2021,9012142,42893.72,210104,Milhões de Reais,Reais,Mil pessoas
2022,10079677,47802.02,210863,Milhões de Reais,Reais,Mil pessoas
2023,10943345,51693.92,211695,Milhões de Reais,Reais,Mil pessoas
