codigo,nome,periodo_codigo,interanual,acumulado_ano
90687,Agropecuária,199601,2.6,2.6
90687,Agropecuária,199602,2.2,2.4
90687,Agropecuária,199603,-0.6,1.3
90687,Agropecuária,199604,8.9,3.0
90687,Agropecuária,199701,7.0,7.0
90687,Agropecuária,199702,4.4,5.7
90687,Agropecuária,199703,1.5,4.3
90687,Agropecuária,199704,-11.0,0.8
90687,Agropecuária,199801,-1.4,-1.4
90687,Agropecuária,199802,13.1,5.8
90687,Agropecuária,199803,5.2,5.6
90687,Agropecuária,199804,-5.3,3.4
90687,Agropecuária,199901,12.6,12.6
90687,Agropecuária,199902,1.6,6.8
90687,Agropecuária,199903,3.5,5.7
90687,Agropecuária,199904,10.3,6.5
90687,Agropecuária,200001,6.2,6.2
90687,Agropecuária,200002,3.4,4.8
90687,Agropecuária,200003,1.5,3.7
90687,Agropecuária,200004,-1.6,2.7
90687,Agropecuária,200101,2.9,2.9
90687,Agropecuária,200102,3.0,3.0
90687,Agropecuária,200103,6.0,3.9
90687,Agropecuária,200104,11.1,5.2
90687,Agropecuária,200201,4.7,4.7
90687,Agropecuária,200202,7.3,6.0
90687,Agropecuária,200203,11.7,7.8
90687,Agropecuária,200204,8.8,8.0
90687,Agropecuária,200301,15.4,15.4
90687,Agropecuária,200302,13.4,14.4
90687,Agropecuária,200303,1.5,10.1
90687,Agropecuária,200304,0.8,8.3
90687,Agropecuária,200401,0.0,0.0
90687,Agropecuária,200402,2.0,1.0
90687,Agropecuária,200403,4.6,2.1
90687,Agropecuária,200404,1.5,2.0
90687,Agropecuária,200501,3.2,3.2
90687,Agropecuária,200502,2.4,2.8
90687,Agropecuária,200503,-2.0,1.3
90687,Agropecuária,200504,0.4,1.1
90687,Agropecuária,200601,0.5,0.5
90687,Agropecuária,200602,-0.3,0.1
90687,Agropecuária,200603,11.1,3.4
90687,Agropecuária,200604,10.3,4.6
90687,Agropecuária,200701,3.9,3.9
90687,Agropecuária,200702,0.6,2.2
90687,Agropecuária,200703,4.7,3.0
90687,Agropecuária,200704,4.2,3.2
90687,Agropecuária,200801,4.8,4.8
90687,Agropecuária,200802,11.1,7.9
90687,Agropecuária,200803,5.0,6.9
90687,Agropecuária,200804,0.8,5.8
90687,Agropecuária,200901,-1.4,-1.4
90687,Agropecuária,200902,-5.5,-3.5
90687,Agropecuária,200903,-7.5,-4.8
90687,Agropecuária,200904,1.1,-3.7
90687,Agropecuária,201001,6.9,6.9
90687,Agropecuária,201002,10.1,8.4
90687,Agropecuária,201003,5.5,7.5
90687,Agropecuária,201004,3.1,6.7
90687,Agropecuária,201101,5.4,5.4
90687,Agropecuária,201102,0.7,3.0
90687,Agropecuária,201103,7.7,4.5
90687,Agropecuária,201104,10.9,5.6
90687,Agropecuária,201201,-11.2,-11.2
90687,Agropecuária,201202,-0.2,-5.8
90687,Agropecuária,201203,4.7,-2.4
90687,Agropecuária,201204,-5.9,-3.1
90687,Agropecuária,201301,21.5,21.5
90687,Agropecuária,201302,10.2,15.6
90687,Agropecuária,201303,-2.7,9.3
90687,Agropecuária,201304,4.2,8.4
90687,Agropecuária,201401,6.9,6.9
90687,Agropecuária,201402,0.2,3.6
90687,Agropecuária,201403,1.1,2.8
90687,Agropecuária,201404,2.8,2.8
90687,Agropecuária,201501,7.1,7.1
90687,Agropecuária,201502,4.5,5.9
90687,Agropecuária,201503,-0.2,4.0
90687,Agropecuária,201504,0.0,3.3
90687,Agropecuária,201601,-7.6,-7.6
90687,Agropecuária,201602,-5.3,-6.5
90687,Agropecuária,201603,-4.4,-5.9
90687,Agropecuária,201604,-1.9,-5.2
90687,Agropecuária,201701,20.4,20.4
90687,Agropecuária,201702,16.1,18.3
90687,Agropecuária,201703,10.4,16.0
90687,Agropecuária,201704,5.6,14.2
90687,Agropecuária,201801,-2.6,-2.6
90687,Agropecuária,201802,0.8,-1.0
90687,Agropecuária,201803,4.8,0.6
90687,Agropecuária,201804,4.9,1.3
90687,Agropecuária,201901,0.5,0.5
90687,Agropecuária,201902,0.8,0.6
90687,Agropecuária,201903,0.9,0.7
90687,Agropecuária,201904,-1.1,0.4
90687,Agropecuária,202001,7.1,7.1
90687,Agropecuária,202002,5.5,6.3
90687,Agropecuária,202003,1.7,5.0
90687,Agropecuária,202004,0.2,4.2
90687,Agropecuária,202101,4.0,4.0
90687,Agropecuária,202102,-1.9,1.2
90687,Agropecuária,202103,-6.8,-1.1
90687,Agropecuária,202104,5.6,0.0
90687,Agropecuária,202201,-6.6,-6.6
90687,Agropecuária,202202,-0.9,-4.0
90687,Agropecuária,202203,8.8,-0.6
90687,Agropecuária,202204,-3.7,-1.1
90687,Agropecuária,202301,24.3,24.3
90687,Agropecuária,202302,22.6,23.5
90687,Agropecuária,202303,9.6,19.4
90687,Agropecuária,202304,0.5,16.3
90687,Agropecuária,202401,-6.9,-6.9
90687,Agropecuária,202402,-3.6,-5.4
90687,Agropecuária,202403,-0.5,-4.1
90687,Agropecuária,202404,-1.8,-3.7
90687,Agropecuária,202501,12.9,12.9
90687,Agropecuária,202502,11.5,12.2
90687,Agropecuária,202503,10.1,11.6
90687,Agropecuária,202504,12.1,11.7
90687,Agropecuária,202601,0.7,0.7
90687,Agropecuária,202602,6.8,3.6
90691,Indústria,199601,-6.0,-6.0
90691,Indústria,199602,-3.0,-4.5
90691,Indústria,199603,11.3,0.8
90691,Indústria,199604,1.5,1.0
90691,Indústria,199701,3.3,3.3
90691,Indústria,199702,8.0,5.7
90691,Indústria,199703,0.2,3.7
90691,Indústria,199704,6.4,4.4
90691,Indústria,199801,0.1,0.1
90691,Indústria,199802,-0.3,-0.1
90691,Indústria,199803,-2.7,-1.0
90691,Indústria,199804,-5.2,-2.1
90691,Indústria,199901,-4.2,-4.2
90691,Indústria,199902,-4.4,-4.3
90691,Indústria,199903,-3.5,-4.0
90691,Indústria,199904,1.8,-2.6
90691,Indústria,200001,4.6,4.6
90691,Indústria,200002,3.9,4.2
90691,Indústria,200003,4.4,4.3
90691,Indústria,200004,4.7,4.4
90691,Indústria,200101,4.1,4.1
90691,Indústria,200102,0.4,2.2
90691,Indústria,200103,-2.6,0.5
90691,Indústria,200104,-3.9,-0.6
90691,Indústria,200201,-2.3,-2.3
90691,Indústria,200202,2.3,0.0
90691,Indústria,200203,5.7,2.0
90691,Indústria,200204,9.2,3.8
90691,Indústria,200301,0.1,0.1
90691,Indústria,200302,-2.0,-1.0
90691,Indústria,200303,1.9,0.0
90691,Indústria,200304,0.3,0.1
90691,Indústria,200401,7.4,7.4
90691,Indústria,200402,8.9,8.2
90691,Indústria,200403,8.8,8.4
90691,Indústria,200404,7.7,8.2
90691,Indústria,200501,4.2,4.2
90691,Indústria,200502,5.2,4.7
90691,Indústria,200503,-1.1,2.6
90691,Indústria,200504,0.2,2.0
90691,Indústria,200601,3.3,3.3
90691,Indústria,200602,-1.9,0.6
90691,Indústria,200603,2.5,1.3
90691,Indústria,200604,4.1,2.0
90691,Indústria,200701,4.1,4.1
90691,Indústria,200702,8.7,6.5
90691,Indústria,200703,7.0,6.7
90691,Indústria,200704,5.0,6.2
90691,Indústria,200801,7.1,7.1
90691,Indústria,200802,5.2,6.1
90691,Indústria,200803,6.8,6.4
90691,Indústria,200804,-2.3,4.1
90691,Indústria,200901,-10.8,-10.8
90691,Indústria,200902,-8.0,-9.3
90691,Indústria,200903,-5.8,-8.1
90691,Indústria,200904,5.7,-4.7
90691,Indústria,201001,15.3,15.3
90691,Indústria,201002,13.0,14.1
90691,Indústria,201003,8.3,12.0
90691,Indústria,201004,5.4,10.2
90691,Indústria,201101,5.7,5.7
90691,Indústria,201102,5.1,5.4
90691,Indústria,201103,4.0,4.9
90691,Indústria,201104,1.9,4.1
90691,Indústria,201201,2.4,2.4
90691,Indústria,201202,-3.2,-0.5
90691,Indústria,201203,-0.5,-0.5
90691,Indústria,201204,-1.4,-0.7
90691,Indústria,201301,-1.4,-1.4
90691,Indústria,201302,4.4,1.5
90691,Indústria,201303,2.9,2.0
90691,Indústria,201304,2.6,2.2
90691,Indústria,201401,3.9,3.9
90691,Indústria,201402,-3.5,0.0
90691,Indústria,201403,-3.6,-1.2
90691,Indústria,201404,-2.3,-1.5
90691,Indústria,201501,-4.1,-4.1
90691,Indústria,201502,-4.8,-4.5
90691,Indústria,201503,-5.8,-4.9
90691,Indústria,201504,-8.3,-5.8
90691,Indústria,201601,-7.4,-7.4
90691,Indústria,201602,-3.9,-5.7
90691,Indústria,201603,-3.4,-4.9
90691,Indústria,201604,-3.5,-4.6
90691,Indústria,201701,-1.9,-1.9
90691,Indústria,201702,-2.3,-2.1
90691,Indústria,201703,-0.4,-1.5
90691,Indústria,201704,2.6,-0.5
90691,Indústria,201801,1.3,1.3
90691,Indústria,201802,1.2,1.2
90691,Indústria,201803,1.0,1.2
90691,Indústria,201804,-0.6,0.7
90691,Indústria,201901,-1.5,-1.5
90691,Indústria,201902,-0.4,-0.9
90691,Indústria,201903,-0.7,-0.8
90691,Indústria,201904,-0.1,-0.7
90691,Indústria,202001,-1.2,-1.2
90691,Indústria,202002,-13.2,-7.3
90691,Indústria,202003,0.0,-4.7
90691,Indústria,202004,2.2,-3.0
90691,Indústria,202101,6.2,6.2
90691,Indústria,202102,18.7,12.2
90691,Indústria,202103,1.4,8.2
90691,Indústria,202104,-3.8,5.0
90691,Indústria,202201,-2.3,-2.3
90691,Indústria,202202,1.1,-0.6
90691,Indústria,202203,2.6,0.5
90691,Indústria,202204,4.6,1.5
90691,Indústria,202301,1.6,1.6
90691,Indústria,202302,0.9,1.3
90691,Indústria,202303,1.2,1.2
90691,Indústria,202304,3.0,1.7
90691,Indústria,202401,3.0,3.0
90691,Indústria,202402,4.0,3.5
90691,Indústria,202403,3.3,3.4
90691,Indústria,202404,2.2,3.1
90691,Indústria,202501,2.4,2.4
90691,Indústria,202502,1.1,1.7
90691,Indústria,202503,1.7,1.7
90691,Indústria,202504,0.6,1.4
90691,Indústria,202601,1.6,1.6
90691,Indústria,202602,1.5,1.6
90696,Serviços,199601,2.7,2.7
90696,Serviços,199602,3.7,3.2
90696,Serviços,199603,3.2,3.2
90696,Serviços,199604,-0.3,2.3
90696,Serviços,199701,1.9,1.9
90696,Serviços,199702,2.2,2.1
90696,Serviços,199703,1.3,1.8
90696,Serviços,199704,4.7,2.5
90696,Serviços,199801,1.4,1.4
90696,Serviços,199802,1.9,1.6
90696,Serviços,199803,1.8,1.7
90696,Serviços,199804,0.7,1.4
90696,Serviços,199901,2.8,2.8
90696,Serviços,199902,1.7,2.2
90696,Serviços,199903,0.9,1.8
90696,Serviços,199904,2.0,1.8
90696,Serviços,200001,3.1,3.1
90696,Serviços,200002,3.3,3.2
90696,Serviços,200003,4.3,3.6
90696,Serviços,200004,4.5,3.8
90696,Serviços,200101,2.4,2.4
90696,Serviços,200102,3.2,2.8
90696,Serviços,200103,1.7,2.4
90696,Serviços,200104,1.0,2.1
90696,Serviços,200201,2.9,2.9
90696,Serviços,200202,2.5,2.7
90696,Serviços,200203,3.4,2.9
90696,Serviços,200204,3.6,3.1
90696,Serviços,200301,1.8,1.8
90696,Serviços,200302,0.9,1.4
90696,Serviços,200303,0.5,1.0
90696,Serviços,200304,0.8,1.0
90696,Serviços,200401,3.3,3.3
90696,Serviços,200402,5.6,4.5
90696,Serviços,200403,5.2,4.7
90696,Serviços,200404,5.8,5.0
90696,Serviços,200501,4.5,4.5
90696,Serviços,200502,4.2,4.4
90696,Serviços,200503,3.5,4.1
90696,Serviços,200504,2.5,3.7
90696,Serviços,200601,4.6,4.6
90696,Serviços,200602,3.9,4.2
90696,Serviços,200603,4.4,4.3
90696,Serviços,200604,4.5,4.3
90696,Serviços,200701,5.7,5.7
90696,Serviços,200702,6.0,5.8
90696,Serviços,200703,5.4,5.7
90696,Serviços,200704,6.3,5.8
90696,Serviços,200801,5.3,5.3
90696,Serviços,200802,5.8,5.5
90696,Serviços,200803,6.2,5.8
90696,Serviços,200804,2.1,4.8
90696,Serviços,200901,1.0,1.0
90696,Serviços,200902,0.7,0.8
90696,Serviços,200903,1.4,1.0
90696,Serviços,200904,5.1,2.1
90696,Serviços,201001,6.2,6.2
90696,Serviços,201002,6.0,6.1
90696,Serviços,201003,5.7,6.0
90696,Serviços,201004,5.3,5.8
90696,Serviços,201101,4.7,4.7
90696,Serviços,201102,4.3,4.5
90696,Serviços,201103,2.8,3.9
90696,Serviços,201104,2.1,3.5
90696,Serviços,201201,2.2,2.2
90696,Serviços,201202,2.4,2.3
90696,Serviços,201203,3.3,2.6
90696,Serviços,201204,3.7,2.9
90696,Serviços,201301,2.8,2.8
90696,Serviços,201302,3.1,2.9
90696,Serviços,201303,2.7,2.9
90696,Serviços,201304,2.4,2.8
90696,Serviços,201401,2.8,2.8
90696,Serviços,201402,0.7,1.7
90696,Serviços,201403,0.4,1.3
90696,Serviços,201404,0.2,1.0
90696,Serviços,201501,-1.2,-1.2
90696,Serviços,201502,-2.2,-1.7
90696,Serviços,201503,-3.4,-2.3
90696,Serviços,201504,-4.0,-2.7
90696,Serviços,201601,-3.2,-3.2
90696,Serviços,201602,-2.1,-2.7
90696,Serviços,201603,-1.6,-2.3
90696,Serviços,201604,-1.9,-2.2
90696,Serviços,201701,-1.2,-1.2
90696,Serviços,201702,0.3,-0.5
90696,Serviços,201703,1.5,0.2
90696,Serviços,201704,2.5,0.8
90696,Serviços,201801,2.7,2.7
90696,Serviços,201802,2.0,2.4
90696,Serviços,201803,2.1,2.3
90696,Serviços,201804,1.6,2.1
90696,Serviços,201901,1.6,1.6
90696,Serviços,201902,1.3,1.5
90696,Serviços,201903,1.2,1.4
90696,Serviços,201904,1.9,1.5
90696,Serviços,202001,0.3,0.3
90696,Serviços,202002,-9.8,-4.8
90696,Serviços,202003,-4.1,-4.5
90696,Serviços,202004,-1.4,-3.7
90696,Serviços,202101,-0.5,-0.5
90696,Serviços,202102,10.8,4.9
90696,Serviços,202103,5.8,5.2
90696,Serviços,202104,3.7,4.8
90696,Serviços,202201,3.7,3.7
90696,Serviços,202202,4.7,4.2
90696,Serviços,202203,5.0,4.5
90696,Serviços,202204,3.6,4.3
90696,Serviços,202301,3.5,3.5
90696,Serviços,202302,3.2,3.3
90696,Serviços,202303,2.3,3.0
90696,Serviços,202304,2.2,2.8
90696,Serviços,202401,3.5,3.5
90696,Serviços,202402,3.8,3.7
90696,Serviços,202403,4.3,3.9
90696,Serviços,202404,3.5,3.8
90696,Serviços,202501,2.1,2.1
90696,Serviços,202502,1.9,2.0
90696,Serviços,202503,1.3,1.8
90696,Serviços,202504,2.0,1.8
90696,Serviços,202601,2.1,2.1
90696,Serviços,202602,1.5,1.8
90707,PIB,199601,-0.6,-0.6
90707,PIB,199602,1.3,0.4
90707,PIB,199603,5.6,2.2
90707,PIB,199604,2.3,2.2
90707,PIB,199701,3.4,3.4
90707,PIB,199702,4.8,4.1
90707,PIB,199703,1.8,3.3
90707,PIB,199704,3.7,3.4
90707,PIB,199801,1.0,1.0
90707,PIB,199802,1.5,1.3
90707,PIB,199803,0.4,0.9
90707,PIB,199804,-1.4,0.3
90707,PIB,199901,0.8,0.8
90707,PIB,199902,-0.4,0.2
90707,PIB,199903,-0.6,-0.1
90707,PIB,199904,2.2,0.5
90707,PIB,200001,4.4,4.4
90707,PIB,200002,4.0,4.2
90707,PIB,200003,4.6,4.3
90707,PIB,200004,4.6,4.4
90707,PIB,200101,3.5,3.5
90707,PIB,200102,2.3,2.9
90707,PIB,200103,0.5,2.1
90707,PIB,200104,-0.5,1.4
90707,PIB,200201,0.5,0.5
90707,PIB,200202,2.3,1.4
90707,PIB,200203,4.2,2.3
90707,PIB,200204,5.2,3.1
90707,PIB,200301,2.7,2.7
90707,PIB,200302,0.8,1.7
90707,PIB,200303,0.6,1.3
90707,PIB,200304,0.6,1.1
90707,PIB,200401,3.9,3.9
90707,PIB,200402,6.3,5.1
90707,PIB,200403,6.6,5.6
90707,PIB,200404,6.2,5.8
90707,PIB,200501,4.2,4.2
90707,PIB,200502,4.5,4.3
90707,PIB,200503,2.1,3.6
90707,PIB,200504,2.2,3.2
90707,PIB,200601,4.3,4.3
90707,PIB,200602,2.3,3.3
90707,PIB,200603,4.5,3.7
90707,PIB,200604,4.8,4.0
90707,PIB,200701,5.2,5.2
90707,PIB,200702,6.5,5.9
90707,PIB,200703,5.9,5.9
90707,PIB,200704,6.6,6.1
90707,PIB,200801,6.2,6.2
90707,PIB,200802,6.3,6.2
90707,PIB,200803,7.0,6.5
90707,PIB,200804,1.0,5.1
90707,PIB,200901,-2.4,-2.4
90707,PIB,200902,-2.2,-2.3
90707,PIB,200903,-1.2,-1.9
90707,PIB,200904,5.3,-0.1
90707,PIB,201001,9.2,9.2
90707,PIB,201002,8.5,8.9
90707,PIB,201003,6.9,8.2
90707,PIB,201004,5.7,7.5
90707,PIB,201101,5.2,5.2
90707,PIB,201102,4.7,4.9
90707,PIB,201103,3.5,4.5
90707,PIB,201104,2.6,4.0
90707,PIB,201201,1.7,1.7
90707,PIB,201202,1.0,1.3
90707,PIB,201203,2.5,1.7
90707,PIB,201204,2.5,1.9
90707,PIB,201301,2.7,2.7
90707,PIB,201302,4.0,3.4
90707,PIB,201303,2.8,3.2
90707,PIB,201304,2.5,3.0
90707,PIB,201401,3.5,3.5
90707,PIB,201402,-0.4,1.5
90707,PIB,201403,-0.6,0.8
90707,PIB,201404,-0.2,0.5
90707,PIB,201501,-1.6,-1.6
90707,PIB,201502,-2.7,-2.2
90707,PIB,201503,-4.3,-2.9
90707,PIB,201504,-5.5,-3.5
90707,PIB,201601,-5.1,-5.1
90707,PIB,201602,-3.2,-4.2
90707,PIB,201603,-2.5,-3.6
90707,PIB,201604,-2.3,-3.3
90707,PIB,201701,0.3,0.3
90707,PIB,201702,0.8,0.5
90707,PIB,201703,1.6,0.9
90707,PIB,201704,2.6,1.3
90707,PIB,201801,1.9,1.9
90707,PIB,201802,1.6,1.8
90707,PIB,201803,2.1,1.9
90707,PIB,201804,1.6,1.8
90707,PIB,201901,0.9,0.9
90707,PIB,201902,1.2,1.0
90707,PIB,201903,1.1,1.1
90707,PIB,201904,1.7,1.2
90707,PIB,202001,0.4,0.4
90707,PIB,202002,-10.1,-4.9
90707,PIB,202003,-3.0,-4.3
90707,PIB,202004,-0.3,-3.3
90707,PIB,202101,1.7,1.7
90707,PIB,202102,12.4,6.8
90707,PIB,202103,4.2,5.9
90707,PIB,202104,1.5,4.8
90707,PIB,202201,1.5,1.5
90707,PIB,202202,3.5,2.5
90707,PIB,202203,4.3,3.1
90707,PIB,202204,2.7,3.0
90707,PIB,202301,4.4,4.4
90707,PIB,202302,3.9,4.1
90707,PIB,202303,2.4,3.5
90707,PIB,202304,2.4,3.2
90707,PIB,202401,2.5,2.5
90707,PIB,202402,3.5,3.0
90707,PIB,202403,4.1,3.4
90707,PIB,202404,3.6,3.4
90707,PIB,202501,3.1,3.1
90707,PIB,202502,2.4,2.7
90707,PIB,202503,1.8,2.4
90707,PIB,202504,1.8,2.3
90707,PIB,202601,1.8,1.8
90707,PIB,202602,2.0,1.9
93404,Consumo das famílias,199601,-1.2,-1.2
93404,Consumo das famílias,199602,1.8,0.3
93404,Consumo das famílias,199603,5.4,2.0
93404,Consumo das famílias,199604,6.7,3.2
93404,Consumo das famílias,199701,7.9,7.9
93404,Consumo das famílias,199702,6.0,6.9
93404,Consumo das famílias,199703,2.1,5.2
93404,Consumo das famílias,199704,-2.8,3.0
93404,Consumo das famílias,199801,-0.5,-0.5
93404,Consumo das famílias,199802,-1.1,-0.8
93404,Consumo das famílias,199803,0.0,-0.5
93404,Consumo das famílias,199804,-1.3,-0.7
93404,Consumo das famílias,199901,-0.9,-0.9
93404,Consumo das famílias,199902,-0.6,-0.8
93404,Consumo das famílias,199903,-0.1,-0.5
93404,Consumo das famílias,199904,3.1,0.4
93404,Consumo das famílias,200001,3.0,3.0
93404,Consumo das famílias,200002,4.2,3.6
93404,Consumo das famílias,200003,4.7,4.0
93404,Consumo das famílias,200004,4.1,4.0
93404,Consumo das famílias,200101,4.0,4.0
93404,Consumo das famílias,200102,3.1,3.6
93404,Consumo das famílias,200103,-1.8,1.7
93404,Consumo das famílias,200104,-1.9,0.8
93404,Consumo das famílias,200201,0.2,0.2
93404,Consumo das famílias,200202,0.7,0.5
93404,Consumo das famílias,200203,2.7,1.2
93404,Consumo das famílias,200204,1.6,1.3
93404,Consumo das famílias,200301,0.0,0.0
93404,Consumo das famílias,200302,-2.0,-1.0
93404,Consumo das famílias,200303,-0.7,-0.9
93404,Consumo das famílias,200304,0.6,-0.5
93404,Consumo das famílias,200401,0.9,0.9
93404,Consumo das famílias,200402,3.1,2.0
93404,Consumo das famílias,200403,4.9,3.0
93404,Consumo das famílias,200404,6.6,3.9
93404,Consumo das famílias,200501,5.3,5.3
93404,Consumo das famílias,200502,4.8,5.1
93404,Consumo das famílias,200503,4.4,4.8
93404,Consumo das famílias,200504,3.3,4.4
93404,Consumo das famílias,200601,4.9,4.9
93404,Consumo das famílias,200602,5.8,5.4
93404,Consumo das famílias,200603,5.3,5.3
93404,Consumo das famílias,200604,5.1,5.3
93404,Consumo das famílias,200701,6.4,6.4
93404,Consumo das famílias,200702,6.2,6.3
93404,Consumo das famílias,200703,5.8,6.1
93404,Consumo das famílias,200704,7.1,6.4
93404,Consumo das famílias,200801,7.2,7.2
93404,Consumo das famílias,200802,7.0,7.1
93404,Consumo das famílias,200803,8.4,7.5
93404,Consumo das famílias,200804,3.5,6.5
93404,Consumo das famílias,200901,2.3,2.3
93404,Consumo das famílias,200902,4.0,3.1
93404,Consumo das famílias,200903,4.5,3.6
93404,Consumo das famílias,200904,7.0,4.5
93404,Consumo das famílias,201001,7.5,7.5
93404,Consumo das famílias,201002,5.4,6.4
93404,Consumo das famílias,201003,5.3,6.0
93404,Consumo das famílias,201004,6.8,6.2
93404,Consumo das famílias,201101,6.4,6.4
93404,Consumo das famílias,201102,6.6,6.5
93404,Consumo das famílias,201103,4.0,5.6
93404,Consumo das famílias,201104,2.5,4.8
93404,Consumo das famílias,201201,3.0,3.0
93404,Consumo das famílias,201202,2.2,2.6
93404,Consumo das famílias,201203,3.9,3.0
93404,Consumo das famílias,201204,4.8,3.5
93404,Consumo das famílias,201301,3.8,3.8
93404,Consumo das famílias,201302,4.1,4.0
93404,Consumo das famílias,201303,3.5,3.8
93404,Consumo das famílias,201304,2.5,3.5
93404,Consumo das famílias,201401,3.6,3.6
93404,Consumo das famílias,201402,1.5,2.5
93404,Consumo das famílias,201403,1.1,2.1
93404,Consumo das famílias,201404,2.8,2.3
93404,Consumo das famílias,201501,-0.6,-0.6
93404,Consumo das famílias,201502,-2.2,-1.4
93404,Consumo das famílias,201503,-3.9,-2.3
93404,Consumo das famílias,201504,-5.9,-3.2
93404,Consumo das famílias,201601,-5.6,-5.6
93404,Consumo das famílias,201602,-4.5,-5.1
93404,Consumo das famílias,201603,-2.9,-4.3
93404,Consumo das famílias,201604,-2.4,-3.8
93404,Consumo das famílias,201701,-0.5,-0.5
93404,Consumo das famílias,201702,1.5,0.5
93404,Consumo das famílias,201703,3.1,1.4
93404,Consumo das famílias,201704,3.7,2.0
93404,Consumo das famílias,201801,3.7,3.7
93404,Consumo das famílias,201802,2.2,2.9
93404,Consumo das famílias,201803,1.9,2.6
93404,Consumo das famílias,201804,1.8,2.4
93404,Consumo das famílias,201901,2.3,2.3
93404,Consumo das famílias,201902,2.4,2.4
93404,Consumo das famílias,201903,2.6,2.4
93404,Consumo das famílias,201904,3.0,2.6
93404,Consumo das famílias,202001,0.4,0.4
93404,Consumo das famílias,202002,-11.2,-5.4
93404,Consumo das famílias,202003,-5.1,-5.3
93404,Consumo das famílias,202004,-2.4,-4.6
93404,Consumo das famílias,202101,-1.5,-1.5
93404,Consumo das famílias,202102,9.7,3.8
93404,Consumo das famílias,202103,3.8,3.8
93404,Consumo das famílias,202104,0.7,3.0
93404,Consumo das famílias,202201,1.7,1.7
93404,Consumo das famílias,202202,5.5,3.6
93404,Consumo das famílias,202203,4.8,4.0
93404,Consumo das famílias,202204,4.6,4.1
93404,Consumo das famílias,202301,4.0,4.0
93404,Consumo das famílias,202302,3.1,3.6
93404,Consumo das famílias,202303,3.3,3.5
93404,Consumo das famílias,202304,2.6,3.2
93404,Consumo das famílias,202401,5.2,5.2
93404,Consumo das famílias,202402,5.4,5.3
93404,Consumo das famílias,202403,5.8,5.5
93404,Consumo das famílias,202404,4.0,5.1
93404,Consumo das famílias,202501,2.2,2.2
93404,Consumo das famílias,202502,1.8,2.0
93404,Consumo das famílias,202503,0.4,1.4
93404,Consumo das famílias,202504,1.0,1.3
93404,Consumo das famílias,202601,1.7,1.7
93404,Consumo das famílias,202602,0.5,1.1
93405,Consumo do governo,199601,-3.3,-3.3
93405,Consumo do governo,199602,-0.2,-1.7
93405,Consumo do governo,199603,2.8,-0.2
93405,Consumo do governo,199604,-6.8,-1.8
93405,Consumo do governo,199701,1.2,1.2
93405,Consumo do governo,199702,-0.8,0.2
93405,Consumo do governo,199703,-5.7,-1.9
93405,Consumo do governo,199704,11.5,1.2
93405,Consumo do governo,199801,1.2,1.2
93405,Consumo do governo,199802,2.3,1.7
93405,Consumo do governo,199803,5.4,3.0
93405,Consumo do governo,199804,4.0,3.2
93405,Consumo do governo,199901,0.7,0.7
93405,Consumo do governo,199902,1.0,0.9
93405,Consumo do governo,199903,1.1,0.9
93405,Consumo do governo,199904,3.9,1.7
93405,Consumo do governo,200001,3.6,3.6
93405,Consumo do governo,200002,1.3,2.4
93405,Consumo do governo,200003,-2.3,0.8
93405,Consumo do governo,200004,-2.8,-0.2
93405,Consumo do governo,200101,1.1,1.1
93405,Consumo do governo,200102,2.2,1.7
93405,Consumo do governo,200103,3.5,2.3
93405,Consumo do governo,200104,3.6,2.6
93405,Consumo do governo,200201,4.3,4.3
93405,Consumo do governo,200202,4.1,4.2
93405,Consumo do governo,200203,4.2,4.2
93405,Consumo do governo,200204,2.8,3.8
93405,Consumo do governo,200301,-0.8,-0.8
93405,Consumo do governo,200302,0.3,-0.2
93405,Consumo do governo,200303,2.0,0.5
93405,Consumo do governo,200304,4.7,1.6
93405,Consumo do governo,200401,3.6,3.6
93405,Consumo do governo,200402,6.5,5.1
93405,Consumo do governo,200403,4.3,4.8
93405,Consumo do governo,200404,1.3,3.9
93405,Consumo do governo,200501,3.7,3.7
93405,Consumo do governo,200502,0.6,2.1
93405,Consumo do governo,200503,1.7,2.0
93405,Consumo do governo,200504,2.1,2.0
93405,Consumo do governo,200601,3.0,3.0
93405,Consumo do governo,200602,2.4,2.7
93405,Consumo do governo,200603,2.6,2.6
93405,Consumo do governo,200604,6.2,3.6
93405,Consumo do governo,200701,4.3,4.3
93405,Consumo do governo,200702,6.6,5.5
93405,Consumo do governo,200703,4.9,5.3
93405,Consumo do governo,200704,0.7,4.1
93405,Consumo do governo,200801,3.0,3.0
93405,Consumo do governo,200802,0.5,1.7
93405,Consumo do governo,200803,3.9,2.4
