periodo_codigo,pib_nominal_milhoes
199601,189323
199602,204611
199603,221513
199604,239316
199701,219117
199702,232890
199703,246178
199704,253904
199801,235701
199802,251936
199803,258043
199804,256671
199901,250668
199902,268709
199903,274126
199904,294208
200001,276927
200002,292789
200003,308896
200004,320481
200101,312470
200102,323724
200103,332524
200104,347038
200201,342297
200202,367363
200203,379795
200204,399333
200301,397242
200302,418987
200303,439350
200304,462372
200401,444783
200402,481795
200403,505252
200404,525920
200501,499710
200502,535557
200503,552859
200504,582458
200601,554270
200602,581977
200603,617848
200604,655355
200701,631423
200702,670655
200703,691846
200704,726339
200801,712055
200802,769525
200803,812603
200804,815620
200901,756127
200902,803577
200903,852843
200904,920492
201001,886397
201002,944145
201003,997935
201004,1057370
201101,1016531
201102,1086712
201103,1112334
201104,1160805
201201,1129474
201202,1183126
201203,1230449
201204,1271711
201301,1241614
201302,1322580
201303,1354134
201304,1413291
201401,1385981
201402,1422322
201403,1462125
201404,1508525
201501,1456659
201502,1479970
201503,1508228
201504,1550930
201601,1500299
201602,1559050
201603,1577170
201604,1632808
201701,1585673
201702,1630730
201703,1648635
201704,1720441
201801,1682083
201802,1734099
201803,1767856
201804,1820103
201901,1757554
201902,1826761
201903,1880610
201904,1924206
202001,1868095
202002,1752724
202003,1929323
202004,2059455
202101,2156670
202102,2203639
202103,2295851
202104,2355982
202201,2319528
202202,2517481
202203,2601182
202204,2641485
202301,2581018
202302,2727580
202303,2769445
202304,2865301
202401,2764833
202402,2934759
202403,3015936
202404,3063723
202501,3024723
202502,3200345
202503,3235708
202504,3277790
202601,3250979
202602,3425728
