periodo_codigo,interanual,acumulado_ano,dessazonalizada
199601,-0.6,-0.6,
199602,1.3,0.4,1.2
199603,5.6,2.2,3.7
199604,2.3,2.2,-1.0
199701,3.4,3.4,1.1
199702,4.8,4.1,0.5
199703,1.8,3.3,1.3
199704,3.7,3.4,0.8
199801,1.0,1.0,-2.0
199802,1.5,1.3,1.7
199803,0.4,0.9,0.0
199804,-1.4,0.3,-1.1
199901,0.8,0.8,0.2
199902,-0.4,0.2,0.5
199903,-0.6,-0.1,0.0
199904,2.2,0.5,1.4
200001,4.4,4.4,1.1
200002,4.0,4.2,1.4
200003,4.6,4.3,1.2
200004,4.6,4.4,1.2
200101,3.5,3.5,0.3
200102,2.3,2.9,-0.5
200103,0.5,2.1,-0.5
200104,-0.5,1.4,-0.3
200201,0.5,0.5,2.5
200202,2.3,1.4,0.2
200203,4.2,2.3,1.4
200204,5.2,3.1,1.0
200301,2.7,2.7,-0.4
200302,0.8,1.7,-0.8
200303,0.6,1.3,0.9
200304,0.6,1.1,1.0
200401,3.9,3.9,1.4
200402,6.3,5.1,2.8
200403,6.6,5.6,1.3
200404,6.2,5.8,0.8
200501,4.2,4.2,0.9
200502,4.5,4.3,1.1
200503,2.1,3.6,-0.6
200504,2.2,3.2,1.3
200601,4.3,4.3,1.6
200602,2.3,3.3,0.3
200603,4.5,3.7,1.7
200604,4.8,4.0,1.2
200701,5.2,5.2,1.9
200702,6.5,5.9,1.7
200703,5.9,5.9,1.0
200704,6.6,6.1,1.5
200801,6.2,6.2,1.3
200802,6.3,6.2,2.0
200803,7.0,6.5,1.6
200804,1.0,5.1,-3.8
200901,-2.4,-2.4,-1.4
200902,-2.2,-2.3,1.8
200903,-1.2,-1.9,2.3
200904,5.3,-0.1,2.6
201001,9.2,9.2,2.1
201002,8.5,8.9,1.3
201003,6.9,8.2,0.9
201004,5.7,7.5,1.4
201101,5.2,5.2,1.3
201102,4.7,4.9,1.0
201103,3.5,4.5,-0.2
201104,2.6,4.0,0.9
201201,1.7,1.7,-1.4
201202,1.0,1.3,1.8
201203,2.5,1.7,1.7
201204,2.5,1.9,0.0
201301,2.7,2.7,0.5
201302,4.0,3.4,1.4
201303,2.8,3.2,0.5
201304,2.5,3.0,0.2
201401,3.5,3.5,0.8
201402,-0.4,1.5,-1.5
201403,-0.6,0.8,-0.1
201404,-0.2,0.5,0.5
201501,-1.6,-1.6,-0.8
201502,-2.7,-2.2,-2.4
201503,-4.3,-2.9,-1.6
201504,-5.5,-3.5,-0.8
201601,-5.1,-5.1,-1.4
201602,-3.2,-4.2,0.3
201603,-2.5,-3.6,-0.5
201604,-2.3,-3.3,-0.1
201701,0.3,0.3,1.0
201702,0.8,0.5,0.8
201703,1.6,0.9,0.2
201704,2.6,1.3,0.5
201801,1.9,1.9,0.6
201802,1.6,1.8,-0.1
201803,2.1,1.9,1.0
201804,1.6,1.8,-0.3
201901,0.9,0.9,0.3
201902,1.2,1.0,0.6
201903,1.1,1.1,0.0
201904,1.7,1.2,0.9
202001,0.4,0.4,-2.3
202002,-10.1,-4.9,-8.9
202003,-3.0,-4.3,7.9
202004,-0.3,-3.3,3.8
202101,1.7,1.7,0.9
202102,12.4,6.8,-0.7
202103,4.2,5.9,0.1
202104,1.5,4.8,1.3
202201,1.5,1.5,0.7
202202,3.5,2.5,1.1
202203,4.3,3.1,1.1
202204,2.7,3.0,0.4
202301,4.4,4.4,1.3
202302,3.9,4.1,0.8
202303,2.4,3.5,0.1
202304,2.4,3.2,0.4
202401,2.5,2.5,0.7
202402,3.5,3.0,1.7
202403,4.1,3.4,0.9
202404,3.6,3.4,0.1
202501,3.1,3.1,1.3
202502,2.4,2.7,0.4
202503,1.8,2.4,0.1
202504,1.8,2.3,0.2
202601,1.8,1.8,1.1
202602,2.0,1.9,0.5
