item,periodo,n_meses,indice_nominal_medio,indice_real_medio,variacao_pct_nominal_periodo,variacao_pct_real_periodo
Arroz,Bolsonaro,48,135.13689921851594,180.17753798258914,56.56608353769206,23.745219766256366
Arroz,Lula,44,181.8564823325979,196.85510603473432,-3.6308151134257782,-17.831743191836267
Café moído,Bolsonaro,48,118.98594076439254,157.3296919012112,70.56428885543508,34.80898884214483
Café moído,Lula,44,221.79414842967444,236.9691308445753,45.64707131060241,24.184571789127894
Carne bovina (patinho),Bolsonaro,48,142.13373244691644,188.73346360155446,71.82023116486104,35.80164864164885
Carne bovina (patinho),Lula,44,179.95878325257488,193.47394058421904,23.89328761703531,5.636417758499679
Feijão carioca,Bolsonaro,48,146.44896963081956,195.79531094868062,77.6842950704461,40.436431988869124
Feijão carioca,Lula,44,158.08866719037033,171.02000863266687,1.6624403202122773,-13.318499956103825
Leite longa vida,Bolsonaro,48,131.22897434182872,174.35364118643565,60.14812830783684,26.576362420389543
Leite longa vida,Lula,44,170.1266396403603,183.55482488349097,21.898093381564898,3.9352346208062716
Óleo de soja,Bolsonaro,48,179.02666852534608,235.03128742152967,140.25560803031755,89.89095431150523
Óleo de soja,Lula,44,200.42594557756237,216.0164503383384,-13.376359291923345,-26.14118752029664
